number,meal_type,meal_slot,title,ingredients,energy_kcal,protein_g,carbohydrates_g,sugars_total_g,fibre_g,fats_total_g,fatty_acids_total_saturated_g,fatty_acids_total_monounsaturated_g,fatty_acids_total_polyunsaturated_g,cholesterol_mg,vitamin_A1_retinol_g,vitamin_A_RAE_g,carotene_alpha_g,carotene_beta_g,lycophene_g,lutein_zeaxanthin_g,thiamin_mg,riboflavin_mg,niacin_mg,vitamin_B6_mg,folic_acid_g,folate_food_ug,folate_DFE_ug,folate_total_ug,choline_mg,vitamin_B12_ug,vitamin B12_added_ug,vitamin_C_total_ascorbic_acid_mg,vitamin_D2D3_g,vitamin_E_added_mg,vitamin_K_phylloquinone_ug,calcium_mg,phosphorus_mg,magnesium_mg,iron_mg,zinc_mg,copper_mg,selenium_ug,potassium_mg,sodium_mg,caffeine_mg,theobromine_mg,alcohol_g,energy_kj,starch_g,betasitosterol_mg,campesterol_mg,stigmasterol_mg,phytosterols_mg,fructose_g,galactose_g,glucose_g,lactose_g,maltose_g,sucrose_g,water_g,protein_adjusted_g,alanine_g,arginine_g,aspartic_acid_g,betaine_g,cystine_g,glutamic_acid_g,glycine_g,histidine_g,hydroxyproline_g,isoleucine_g,leucine_g,lysine_g,methionine_g,phenylanine_g,proline_g,serine_g,theonine_g,tryptophan_g,tyrosine_g,valine_g,manganese_mg,fluoride_mg,ash_g,vitamin_A_iu,vitamin_B5_pantothenic_acid_mg,vitiamin_D_IU,vitamin_D2_ergocalciferol_g,vitamin_E_alphatocopherol_mg,tocopherol_beta_mg,tocopherol_delta_mg,tocopherol_gamma_mg,tocotrienol_alpha_mg,tocotrienol_beta_mg,tocotrienol_delta_mg,tocotrienol_gamma_mg,vitamin_K2_menaquinone4_g,fats_lipid_g,fatty_acids_total_polyunsaturated150_g,fatty_acids_total_polyunsaturated161c_g,fatty_acids_total_polyunsaturated161t_g,fatty_acids_total_polyunsaturated170_g,fatty_acids_total_polyunsaturated171_g,fatty_acids_total_polyunsaturated181c_g,fatty_acids_total_polyunsaturated182clas_g,fatty_acids_total_polyunsaturated182i_g,fatty_acids_total_polyunsaturated182n6cc_g,fatty_acids_total_polyunsaturated182tnot_g,fatty_acids_total_polyunsaturated182tt_g,fatty_acids_total_polyunsaturated183n6ccc_g,fatty_acids_total_polyunsaturated202n6cc_g,fatty_acids_total_polyunsaturated203_g,fatty_acids_total_polyunsaturated221c_g,fatty_acids_total_polyunsaturated221t_g,fatty_acids_total_polyunsaturated240_g,fatty_acids_total_polyunsaturated241c_g,fatty_acids_total_saturated100_g,fatty_acids_total_saturated120n_g,fatty_acids_total_saturated140_g,fatty_acids_total_saturated141_g,fatty_acids_total_saturated160_g,fatty_acids_total_saturated161_g,fatty_acids_total_saturated180_g,fatty_acids_total_saturated181_g,fatty_acids_total_saturated182_g,fatty_acids_total_saturated183_g,fatty_acids_total_saturated184,fatty_acids_total_saturated200_g,fatty_acids_total_saturated201_g,fatty_acids_total_saturated204_g,fatty_acids_total_saturated205n3_g,fatty_acids_total_saturated220_g,fatty_acids_total_saturated221_g,fatty_acids_total_saturated225n3dpa_g,fatty_acids_total_saturated226n3dha_g,fatty_acids_total_saturated40_g,fatty_acids_total_saturated60_g,fatty_acids_total_saturated80_g,fatty_acids_total_trans_g,fatty_acids_total_transmonoenoic_g,fatty_acids_total_transpolyenoic_g,fatty_acids_total_transpolyenoic130_g,fatty_acids_total_transpolyenoic151_g,fatty_acids_total_transpolyenoic18111_g,fatty_acids_total_transpolyenoic183n3ccc_g,fatty_acids_total_transpolyenoic183i_g,fatty_acids_total_transpolyenoic203n3_g,fatty_acids_total_transpolyenoic203n6,fatty_acids_total_transpolyenoic204n6_g,fatty_acids_total_transpolyenoic215_g,fatty_acids_total_transpolyenoic224_g,region,subregion,country,cooktime,preptime,approximate_total_cost,individual_ingredient_costs,ingredients_with_quantities,cooking instructions,sports_build_muscle_score,fight_heart_disease_score,fight_diabetes_score,fight_cancer_score,lose_weight_score
200681,recipe,['snack'],Apple,[],112.84,0.3094,26.936,21.9856,3.822,0.273,0.05096,0.01274,0.09272,0,0,5.46,0,49.14,0,52.78,0.0182,0.1274,0.16562,0.0546,0,0,0,0,6.188,0,0,8.372,0,0,4.004,9.1,16.38,9.1,0.0546,0.0364,0.0546,0,189.28,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200682,recipe,['snack'],Banana,[],114.46,0.8732,26.7978,18.644,2.006,0.3304,0.13216,0.03776,0.08614,0,0,1.18,8.26,9.44,0,25.96,0.06372,0,0.77054,0.25016,0,17.7,17.7,17.7,11.564,0,0,14.16,0,0,0.118,5.9,25.96,33.04,0,0.1888,0.11918,0,384.68,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200683,recipe,['snack'],Blueberries,[],171,2.22,43.47,0,7.2,0.99,0.084,0.141,0.438,0,0,9,0,96,0,240,0.111,0.123,1.254,0.156,0,18,18,18,18,0,0,29.1,0,0,57.9,18,36,18,0,0,0.171,0.3,231,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200684,recipe,['snack'],Cantaloupe,[],190,4.1,40.8,0,4,0.9,0.255,0.015,0.405,0,0,1160,0,13900,0,160,0.245,0.135,3.47,0.2,0,70,70,70,38,0,0,54.5,0,0,13.5,45,85,65,0,0,0.425,8.5,785,150,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200700,recipe,['snack'],Peach,[],69,1.365,15.15,12.5858,2.25,0.405,0.0285,0.1005,0.129,0,0,36,0,336,0,198,0.036,0.0465,1.209,0.0375,0,9,9,9,9.15,0,0,6.15,0,0,4.5,6,33,12,0.51,0.345,0.117,3.15,183,19.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
