number,meal_type,meal_slot,tags,title,ingredients,instructions,energy_kcal,protein_g,carbohydrates_g,sugars_total_g,fibre_g,fats_total_g,fatty_acids_total_saturated_g,fatty_acids_total_monounsaturated_g,fatty_acids_total_polyunsaturated_g,cholesterol_mg,vitamin_A1_retinol_g,vitamin_A_RAE_g,carotene_alpha_g,carotene_beta_g,lycophene_g,lutein_zeaxanthin_g,thiamin_mg,riboflavin_mg,niacin_mg,vitamin_B6_mg,folic_acid_g,folate_food_ug,folate_DFE_ug,folate_total_ug,choline_mg,vitamin_B12_ug,vitamin B12_added_ug,vitamin_C_total_ascorbic_acid_mg,vitamin_D2D3_g,vitamin_E_added_mg,vitamin_K_phylloquinone_ug,calcium_mg,phosphorus_mg,magnesium_mg,iron_mg,zinc_mg,copper_mg,selenium_ug,potassium_mg,sodium_mg,caffeine_mg,theobromine_mg,alcohol_g
200681,recipe,['snack'],Snacks,Apple,[],{},112.84,0.3094,26.936,21.9856,3.822,0.273,0.05096,0.01274,0.09272,0.0,0.0,5.46,0.0,49.14,0.0,52.78,0.0182,0.1274,0.16562,0.0546,0.0,0.0,0.0,0.0,6.188,0.0,0,8.372,0.0,0,4.004,9.1,16.38,9.1,0.0546,0.0364,0.0546,0.0,189.28,0.0,0.0,0.0,0.0
200682,recipe,['snack'],Snacks,Banana,[],{},114.46,0.8732,26.7978,18.644,2.006,0.3304,0.13216,0.03776,0.08614,0.0,0.0,1.18,8.26,9.44,0.0,25.96,0.06372,0.0,0.77054,0.25016,0.0,17.7,17.7,17.7,11.564,0.0,0,14.16,0.0,0,0.118,5.9,25.96,33.04,0,0.1888,0.11918,0.0,384.68,0.0,0.0,0.0,0.0
200683,recipe,['snack'],Snacks,Blueberries,[],{},171.0,2.22,43.47,0,7.2,0.99,0.084,0.141,0.438,0.0,0.0,9.0,0.0,96.0,0.0,240.0,0.111,0.123,1.254,0.156,0.0,18.0,18.0,18.0,18.0,0.0,0,29.1,0.0,0,57.9,18.0,36.0,18.0,0,0,0.171,0.3,231.0,3.0,0.0,0.0,0.0
200684,recipe,['snack'],Snacks,Cantaloupe,[],{},190.0,4.1,40.8,0,4.0,0.9,0.255,0.015,0.405,0.0,0.0,1160.0,0.0,13900.0,0.0,160.0,0.245,0.135,3.47,0.2,0.0,70.0,70.0,70.0,38.0,0.0,0,54.5,0.0,0,13.5,45.0,85.0,65.0,0,0,0.425,8.5,785.0,150.0,0.0,0.0,0.0
200700,recipe,['snack'],Snacks,Peach,[],{},69.0,1.365,15.15,12.5858,2.25,0.405,0.0285,0.1005,0.129,0.0,0.0,36,0.0,336,0.0,198,0.036,0.0465,1.209,0.0375,0.0,9,9,9,9.15,0.0,0,6.15,0.0,0,4.5,6,33,12,0.51,0.345,0.117,3.15,183,19.5,0.0,0.0,0.0
