nutrient,recommendation
energy,usda
carbohydrates,50-60% of daily calorie intake
fats,20-30% of daily calorie intake
fiber,25-30 grams/day
protein,1.1-1.45g/kg of bodyweight
vitamin A,ensure in range
vitamin C,ensure in range
vitamin E,ensure in range
calcium,ensure in range
iron,ensure in range
selenium,ensure in range
zinc,ensure in range
