ingredient,recommendation
red wine vinegar,neutral
red wine,limit
rice vinegar,neutral
rice wine vinegar,neutral
rice wine,neutral
rice,preferred
ricotta cheese,preferred
rom tomato,preferred
romaine lettuce,preferred
romano cheese,neutral
rosemary,neutral
rum,neutral
russet potato,preferred
saffron,neutral
sage,neutral
salmon fillet,preferred
salmon,preferred
salsa,neutral
salt black pepper,neutral
salt pepper,neutral
salt,neutral
sauce,neutral
sauerkraut,preferred
sausage,neutral
scallion,preferred
sea salt,neutral
seasoning salt,neutral
self raising flour,neutral
self rising flour,neutral
sesame oil,neutral
sesame seed,preferred
shallot,neutral
sharp cheddar cheese,neutral
sherry wine,limit
sherry,neutral
shortening,neutral
shrimp,neutral
sirloin steak,neutral
sirloin,neutral
snap pea,preferred
snow pea,preferred
soy sauce,neutral
soya sauce,neutral
soymilk,preferred
spaghetti noodle,preferred
spaghetti sauce,neutral
spaghetti,preferred
spaghettini,preferred
spanish onion,preferred
spinach leaf,preferred
spinach,preferred
spring onion,preferred
steak,neutral
stewing beef,neutral
stir fry sauce,neutral
strawberry,preferred
sugar,neutral
sultana,preferred
sunflower oil,neutral
swiss cheese,neutral
tabasco sauce,neutral
table salt,neutral
taco seasoning mix,neutral
taco seasoning,neutral
tahini,preferred
tarragon,neutral
tequila,neutral
teriyaki sauce,neutral
thyme leaf,neutral
thyme leave,neutral
thyme,neutral
tofu,preferred
tomato juice,neutral
tomato paste,preferred
tomato puree,preferred
tomato sauce,neutral
tomato,preferred
tortilla chip,neutral
tortilla,preferred
tuna,preferred
turkey,preferred
turmeric powder,neutral
turmeric,preferred
turnip,preferred
vanilla essence,neutral
vanilla extract,neutral
vanilla ice cream,neutral
vanilla,neutral
vegetable broth,neutral
vegetable oil,neutral
vegetable stock,neutral
vinegar,neutral
vodka,limit
walnut,preferred
water chestnut,preferred
water,preferred
wheat bread,neutral
wheat flour,neutral
whipping cream,limit
white bread,neutral
white flour,neutral
white mushroom,preferred
white onion,preferred
white pepper,neutral
white rice,neutral
white sugar,neutral
white vinegar,neutral
white wine vinegar,neutral
white wine,limit
wine vinegar,neutral
worcestershire sauce,neutral
yeast,neutral
yellow bell pepper,preferred
yellow cornmeal,neutral
yellow onion,preferred
yellow pepper,preferred
yellow squash,preferred
yogurt,preferred
yukon gold potato,preferred
zucchini,preferred
