Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
purpose flour,4,cups,,-,-,-,-
white sugar,1/2,cup,,387.0,99.98,0.0,0.0
baking soda,1 1/4,teaspoons,,0.0,0.0,0.0,0.0
cinnamon,1 1/2,teaspoons,ground,-,-,-,-
clove,1,teaspoon,ground,5.754,1.3761,0.1254,0.273
nutmeg,1,teaspoon,ground,11.55,1.0844,0.1285,0.7988
allspice,1/2,teaspoon,ground,2.4985,0.6851,0.0579,0.0826
black pepper,1,dash,ground,0.251,0.064,0.0104,0.0033
molasses,3/4,cup,,732.975,188.8801,0.0,0.2528
butter,1/2,cup,,684.0,31.428,21.372,57.6
egg,2,,beaten,143.0,0.72,12.56,9.51
confectioner sugar,1 1/2,cups,,-,-,-,-
