Ingredient,Quantity,Unit,Additional Information
Wakame seaweed,0.5,ounce
Water,4,cups
Rice vinegar,3,tablespoons
Sesame oil,1,tablespoon
Soy sauce - low-sodium,1,tablespoon,
Sugar,1,teaspoon
Toasted sesame seeds,1,tablespoon
Cucumber - medium,0.5,,"(optional, thinly sliced)"
Carrots,0.5,cup,"(optional, thinly sliced)"
Red onion,0.25,cup,"(optional, sliced)"
Green onions,2,stalks,"(optional, thinly sliced)"
