Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
purpose flour,1,cup,,-,-,-,-
salt,1,teaspoon,,-,-,-,-
black pepper,1/2,teaspoon,ground,2.8865,0.7354,0.1195,0.0375
chicken breast half,4,,skinless boneless trimmed cut,-,-,-,-
butter,1/2,cup,,684.0,31.428,21.372,57.6
white wine,3/4,cup,,-,-,-,-
lemon,1,,juiced,1.1183,0.3508,0.0178,0.0122
caper,1,teaspoon,,0.6593,0.1402,0.0677,0.0247
lemon,1,,sliced,1.2808,0.4116,0.0486,0.0132
parsley,2,teaspoons,chopped,0.9,0.1582,0.0743,0.0198
