Ingredient,Quantity,Unit,Additional Information
Part A,"Main Recipe"
pork belly,1,pound,(thinly sliced)
sea salt,to taste,,(coarse)
freshly ground black pepper,to taste
sesame oil,1,tablespoon,(optional)
Part B,"For the Ssam (Wraps)"
green lettuce leaves,as needed,,(enough for wrapping)
perilla leaves (kkaennip),,,"(optional, enough for wrapping)"
Part C,"For the Dipping Sauces"
gochujang (Korean chili paste),to taste
doenjang (Korean soybean paste),to taste
sesame oil,to taste,,optional,
rice vinegar,to taste,,optional
garlic,,,"(optional,minced,to taste)"
green onions,,,"(optional,chopped,to taste)"
Part C,"Optional Accompaniments"
kimchi,to taste
garlic,to taste
green chiles,to taste,,chopped
korean pancake (buchimgae),to taste
cooked rice,as needed
