Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
cocoa powder,1/2,cup,unsweetened,98.04,24.897,8.427999999999999,5.891
water,1/2,cup,boiling,0.0,0.0,0.0,0.0
shortening,1/2,cup,,906.1,0.0,0.0,102.5
white sugar,1 1/2,cups,,1161.0,299.94,0.0,0.0
egg,2,,,143.0,0.72,12.56,9.51
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
purpose flour,2,cups,,-,-,-,-
baking powder,1,teaspoon,,2.438,1.2742,0.0,0.0
baking soda,1,teaspoon,,0.0,0.0,0.0,0.0
salt,1/4,teaspoon,,-,-,-,-
buttermilk,1/2,cup,,-,-,-,-
purpose flour,2,tablespoons,,-,-,-,-
salt,1,pinch,,-,-,-,-
milk,1,cup,,148.84,11.6632,7.686,7.9788
shortening,3/4,cup,,906.1,0.0,0.0,102.5
confectioner sugar,1 1/2,cups,,-,-,-,-
vanilla extract,2,teaspoons,,12.095999999999998,0.5313,0.0025,0.0025
