Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
water,1/2,cup,,0.0,0.0,0.0,0.0
yeast,1,tablespoon,,33.3,3.6756,4.2984,0.162
shortening,1/4,cup,,453.05,0.0,0.0,51.25
sugar,1/2,cup,,402.99,100.79799999999999,0.0,0.0
salt,1,teaspoon,,-,-,-,-
water,1,cup,boiling,0.0,0.0,0.0,0.0
milk,1,cup,evaporated,552.0,13.296,5.496,57.216
egg,2,,beaten,143.0,0.72,12.56,9.51
flour,7 1/2,cups,,4337.1,949.5405,70.5075,16.827
vegetable oil,1,quart,,-,-,-,-
confectioner sugar,1,cup,,-,-,-,-
