Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
purpose flour,2,cups,,-,-,-,-
white sugar,2,cups,,1548.0,399.92,0.0,0.0
butter,1,cup,,1368.0,62.856,42.744,115.2
cocoa powder,4,tablespoons,,49.248000000000005,12.5064,4.2336,2.9592
water,1,cup,,0.0,0.0,0.0,0.0
buttermilk,1/2,cup,,-,-,-,-
egg,2,,beaten,143.0,0.72,12.56,9.51
baking soda,1,teaspoon,,0.0,0.0,0.0,0.0
cinnamon,1,teaspoon,ground,-,-,-,-
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
