Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
shortening,1/2,cup,,906.1,0.0,0.0,102.5
butter,1/2,cup,,684.0,31.428,21.372,57.6
white sugar,2,cups,,1548.0,399.92,0.0,0.0
egg,6,,,429.0,2.16,37.68,28.53
milk,3,cups,,446.52,34.9896,23.058000000000003,23.9364
self rising flour,3,cups,,-,-,-,-
vanilla extract,2,teaspoons,,24.191999999999997,1.0626,0.005,0.005
white sugar,3,cups,,1548.0,399.92,0.0,0.0
butter,1,cup,,684.0,31.428,21.372,57.6
cocoa powder,1/2,cup,unsweetened,98.04,24.897,8.427999999999999,5.891
water,1/4,cup,,0.0,0.0,0.0,0.0
milk,2,cups,evaporated,1104.0,26.592,10.992,114.432
