Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
vegetable oil,1/4,cup,,469.79,0.0,0.0,54.5
onion,1,,chopped,64.0,14.944,1.76,0.16
garlic,1,clove,,4.47,0.9918,0.1908,0.015
water,2,tablespoons,,0.0,0.0,0.0,0.0
tomato,8,,,321.6792,69.5184,15.7265,3.5742
green bell pepper,1,,,-,-,-,-
salt,1,tablespoon,,-,-,-,-
garam masala,2,teaspoons,,-,-,-,-
chili powder,1,teaspoon,,7.614,1.3419,0.3634,0.3856
heavy cream,1/2,cup,,204.0,1.6440000000000001,1.704,21.648000000000003
butter,1/4,cup,,342.0,15.714,10.686,28.8
chicken breast half,4,,skinless boneless cut,-,-,-,-
