Ingredient,Quantity,Unit
Part A,"For the Crust"
Graham cracker crumbs,1.5,cups
Unsalted butter,5,tablespoons,melted
Part B,"For the Filling"
Key limes - large,6,,(about 120ml juice)
Egg yolks,4
Sweetened condensed milk,1,14-ounce can
Lime zest,1,teaspoon
Part C,"For the Meringue"
Egg whites - large,3
Cream of tartar,0.25,teaspoon
Granulated sugar,6,tablespoons
