Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
yeast,1,tablespoon,,33.3,3.6756,4.2984,0.162
white sugar,1/3,cup,,32.508,8.3983,0.0,0.0
water,2,cups,,0.0,0.0,0.0,0.0
purpose flour,3,cups,,-,-,-,-
egg,4,,,286.0,1.44,25.12,19.02
vegetable oil,1/2,cup,,939.58,0.0,0.0,109.0
salt,1,tablespoon,,-,-,-,-
white sugar,1,cup,,32.508,8.3983,0.0,0.0
purpose flour,6,cups,,-,-,-,-
egg,1,,,286.0,1.44,25.12,19.02
vegetable oil,1,teaspoon,,939.58,0.0,0.0,109.0
white sugar,2,teaspoons,,32.508,8.3983,0.0,0.0
water,1,teaspoon,,0.0,0.0,0.0,0.0
