Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
blueberry,2,cups,,168.72,42.8904,2.1904,0.9768
purpose flour,1/4,cup,,-,-,-,-
purpose flour,2,cups,,-,-,-,-
baking powder,4,teaspoons,,9.752,5.0968,0.0,0.0
salt,1,teaspoon,,-,-,-,-
margarine,1/4,cup,,405.51599999999996,0.5076,0.5076,45.402
white sugar,1 1/2,cups,,1161.0,299.94,0.0,0.0
egg,2,,,143.0,0.72,12.56,9.51
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
milk,1,cup,,148.84,11.6632,7.686,7.9788
