Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
beef,1,pound,ground,898.1139999999999,0.0,88.0877,57.7424
yellow onion,1/2,,chopped,57.42,3.4191,0.4132,4.698
bean,1,can,refried,80.0,11.3103,11.5862,1.3793
cheddar cheese,1,cup,shredded,-,-,-,-
taco seasoning,1,package,,-,-,-,-
flour tortilla,6,,,-,-,-,-
cream mushroom soup,1,can,condensed,298.4708,25.6912,5.1004,20.024
cream,8,ounces,sour,449.056,10.5007,5.5338,43.885
salsa,1/2,cup,,37.7,8.632,1.976,0.221
cheddar cheese,1 1/2,cups,shredded,-,-,-,-
