Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
purpose flour,2,cups,,-,-,-,-
cocoa powder,1/4,cup,unsweetened,49.02,12.4485,4.2139999999999995,2.9455
white sugar,2,cups,,1548.0,399.92,0.0,0.0
baking soda,1,teaspoon,,0.0,0.0,0.0,0.0
cinnamon,1,teaspoon,ground,-,-,-,-
margarine,1/2,cup,softened,811.0319999999999,1.0152,1.0152,90.804
vegetable oil,1/2,cup,,939.58,0.0,0.0,109.0
water,1,cup,,0.0,0.0,0.0,0.0
milk,1/2,cup,sour,276.0,6.648,2.748,28.608
egg,2,,,143.0,0.72,12.56,9.51
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
