Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
purpose flour,2,cups,,-,-,-,-
white sugar,2,cups,,1548.0,399.92,0.0,0.0
butter,1,cup,,1368.0,62.856,42.744,115.2
water,1,cup,,0.0,0.0,0.0,0.0
shortening,1/2,cup,,906.1,0.0,0.0,102.5
cocoa powder,1/2,cup,unsweetened,98.04,24.897,8.427999999999999,5.891
buttermilk,1/2,cup,,-,-,-,-
egg,2,,,143.0,0.72,12.56,9.51
baking soda,1,teaspoon,,0.0,0.0,0.0,0.0
vanilla extract,1 1/2,teaspoons,,18.144000000000002,0.797,0.0038,0.0038
milk,6,tablespoons,,54.9,4.302,2.835,2.943
confectioner sugar,4,cups,,-,-,-,-
