Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
purpose flour,2 1/3,cups,,-,-,-,-
white sugar,1,cup,,774.0,199.96,0.0,0.0
baking powder,1,tablespoon,,7.314,3.8226,0.0,0.0
salt,1,teaspoon,,-,-,-,-
coffee,2/3,cup,brewed,100.44,16.6698,3.3372,2.3328
cooking oil,1/2,cup,,-,-,-,-
egg yolk,8,,,437.92,4.8824,21.5696,36.0944
egg white,8,,,137.28,1.9272,28.776,0.4488
cream tartar,1/2,teaspoon,,3.87,0.9225,0.0,0.0
white sugar,1/2,cup,,774.0,199.96,0.0,0.0
