Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
beef,1,pound,ground,898.1139999999999,0.0,88.0877,57.7424
onion,2,,chopped,128.0,29.888,3.52,0.32
parsley,3/4,cup,chopped,16.2,2.8485,1.3365,0.3555
allspice,1 1/2,teaspoons,ground,7.4955,2.0554,0.1736,0.2477
salt,1 1/2,teaspoons,divided,-,-,-,-
black pepper,1 1/2,teaspoons,ground divided,8.6595,2.2063,0.3585,0.1125
potato,4,,sliced,-,-,-,-
tomato,3,,sliced,120.6297,26.0694,5.8975,1.3403
water,1 1/2,cups,divided,0.0,0.0,0.0,0.0
tahini,3/4,cup,,1026.0,47.141999999999996,32.058,86.4
lemon juice,2/3,cup,,35.7867,11.224,0.5693,0.3904
