Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
dijon mustard,3,tablespoons,,-,-,-,-
honey,2,tablespoons,,-,-,-,-
tarragon,2,tablespoons,,10.62,1.8079,0.8197,0.2606
basil,2,teaspoons,,0.4063,0.0468,0.0556,0.0113
thyme,2,teaspoons,,1.6159999999999999,0.3912,0.08900000000000001,0.0269
salt,1/8,teaspoon,,-,-,-,-
black pepper,1/8,teaspoon,ground,0.7216,0.1839,0.0299,0.0094
vegetable oil,2,tablespoons,,234.46400000000003,0.0,0.0,27.2
chicken breast half,4,,boneless skinless,-,-,-,-
white wine,1,cup,,-,-,-,-
