Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
tomato,3,,seeded chopped,120.6297,26.0694,5.8975,1.3403
avocado,2,,chopped,-,-,-,-
onion,1,,chopped,28.0,6.537999999999999,0.77,0.07
cilantro,1/4,cup,chopped,0.92,0.1468,0.0852,0.0208
garlic,2,cloves,minced,8.94,1.9836,0.3816,0.03
lime,1,,juiced,1.2604,0.4245,0.0212,0.0035
vegetable oil,2,tablespoons,,234.46400000000003,0.0,0.0,27.2
corn tortilla,8,,,-,-,-,-
black bean,1,can,drained rinsed,991.8141,181.3769,62.8246,4.1301
white rice,1,cup,cooked,675.25,147.9075,13.1905,1.2209999999999999
cilantro,2,tablespoons,chopped,0.92,0.1468,0.0852,0.0208
