Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
dijon mustard,6,tablespoons,,-,-,-,-
honey,1/4,cup,,-,-,-,-
orange juice,1/4,cup,,27.9,6.4479999999999995,0.434,0.124
milk,2,tablespoons,,18.3,1.4340000000000002,0.945,0.981
butter,2,tablespoons,,171.0,7.857,5.343,14.4
lemon juice,2,teaspoons,,2.2367,0.7015,0.0356,0.0244
mustard,1/4,teaspoon,ground,0.0787,0.0136,0.0083,0.0012
salt,1/4,teaspoon,,-,-,-,-
black pepper,1,dash,ground,0.251,0.064,0.0104,0.0033
pecan,1/2,cup,chopped,143.1733,26.831999999999997,2.9467,3.016
chicken breast half,6,,skinless boneless,-,-,-,-
