Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
milk,4,cups,,595.36,46.6528,30.744,31.9152
white sugar,2,cups,,1548.0,399.92,0.0,0.0
egg,3,,,214.5,1.08,18.84,14.265
parmesan cheese,3/4,cup,grated,222.0,24.0,24.0,3.0
butter,2 1/2,tablespoons,softened,213.75,9.8212,6.6788,18.0
coconut,1 1/2,cups,grated,581.4,66.1088,3.9908,35.6872
cornmeal,1,cup,,441.64,93.8058,9.9064,4.3798
purpose flour,2,tablespoons,,-,-,-,-
baking powder,1,tablespoon,,7.314,3.8226,0.0,0.0
salt,1,pinch,,-,-,-,-
