Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
water,3,cups,,0.0,0.0,0.0,0.0
red lentil,1,cup,,687.36,121.152,45.9072,4.1664
rom tomato,1,,quartered,-,-,-,-
carrot,1,,quartered,52.48,12.2624,1.1904,0.3072
onion,1,,quartered,28.0,6.537999999999999,0.77,0.07
garlic,4,cloves,quartered,17.88,3.9672,0.7632,0.06
water,1,cup,,0.0,0.0,0.0,0.0
cumin,2,teaspoons,ground,15.75,1.8581,0.748,0.9353
sea salt,0.5,teaspoon,,-,-,-,-
black pepper,0.5,teaspoon,cracked,2.8865,0.7354,0.1195,0.0375
coriander,0.25,teaspoon,ground,1.341,0.2475,0.0557,0.08
