Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
white sugar,1/2,cup,,387.0,99.98,0.0,0.0
purpose flour,4,cups,,-,-,-,-
baking powder,2,teaspoons,,4.876,2.5484,0.0,0.0
baking soda,1,teaspoon,,0.0,0.0,0.0,0.0
salt,3/4,teaspoon,,-,-,-,-
raisin,3,cups,,1494.9,393.624,16.7805,2.2769999999999997
caraway seed,1,tablespoon,,22.311,3.3433,1.3246,0.9775
egg,2,,beaten,143.0,0.72,12.56,9.51
buttermilk,1 1/4,cups,,-,-,-,-
cream,1,cup,sour,455.4,10.649000000000001,5.612,44.505
