Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
purpose flour,2,cups,,-,-,-,-
oatmeal,2,cups,,425.6,87.4048,12.655999999999999,5.4096
baking soda,1,teaspoon,,0.0,0.0,0.0,0.0
baking powder,1,teaspoon,,2.438,1.2742,0.0,0.0
salt,1,teaspoon,,-,-,-,-
sugar,1,cup,,805.98,201.59599999999998,0.0,0.0
shortening,3/4,cup,,1359.15,0.0,0.0,153.75
egg,2,,beaten,143.0,0.72,12.56,9.51
molasses,5,tablespoons,,305.4062,78.7,0.0,0.1053
vanilla extract,2,teaspoons,,24.191999999999997,1.0626,0.005,0.005
walnut,1/2,cup,chopped,963.56,0.0,0.0,109.0
raisin,1/2,cup,,249.15,65.604,2.7968,0.3795
