Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
olive oil,2,tablespoons,,238.68,0.0,0.0,27.0
onion,1/2,,diced,32.0,7.472,0.88,0.08
garlic,2,cloves,minced,8.94,1.9836,0.3816,0.03
cumin,1,tablespoon,ground,22.5,2.6544,1.0686,1.3362
curry powder,2,tablespoons,,40.95,7.0346,1.8005,1.7653
garbanzo bean,1,can,undrained,1133.4333,188.7556,61.3793,18.1109
red bell pepper,1/2,,diced,-,-,-,-
turnip,1/2,,peeled diced,-,-,-,-
corn kernel,1,cup,,184.71,36.4767,5.1042,2.0022
tomato sauce,1/2,can,,-,-,-,-
red pepper flake,1,pinch,crushed,-,-,-,-
salt,1,pinch,,-,-,-,-
black pepper,1,pinch,cracked,0.3608,0.0919,0.0149,0.0047
