Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
pineapple juice,1,cup,unsweetened,132.5,32.175,0.9,0.3
brown sugar,2,tablespoons,,68.4,17.6562,0.0216,0.0
ketchup,2,tablespoons,,-,-,-,-
ginger,1/4,teaspoon,ground,0.4,0.0888,0.0091,0.0038
garlic salt,1/4,teaspoon,,-,-,-,-
cornstarch,1,tablespoon,,30.48,7.3016,0.0208,0.004
soy sauce,1,tablespoon,,8.48,0.7888,1.3024,0.0912
chicken breast,6,,cooked boneless skinless cut,4681.0788,0.0,567.4447,251.7441
green bell pepper,1,,cut,-,-,-,-
onion,1,,cut,64.0,14.944,1.76,0.16
water chestnut,1,can,sliced,-,-,-,-
