Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
active yeast,2,teaspoons,,-,-,-,-
water,2 1/8,cups,,0.0,0.0,0.0,0.0
bread flour,1,cup,,494.57,99.3661,16.4126,2.2742
vegetable oil,1/3,cup,,626.3867,0.0,0.0,72.6667
honey,1/3,cup,,-,-,-,-
egg,3,,,214.5,1.08,18.84,14.265
salt,2,teaspoons,,-,-,-,-
bread flour,2,cups,,494.57,99.3661,16.4126,2.2742
wheat flour,3,cups,,1224.0,259.092,47.556000000000004,9.0
egg,1,,,214.5,1.08,18.84,14.265
water,1,teaspoon,,0.0,0.0,0.0,0.0
sesame seed,1/4,cup,,342.0,15.714,10.686,28.8
