Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
butter,1/2,cup,,684.0,31.428,21.372,57.6
garlic,4,cloves,minced,17.88,3.9672,0.7632,0.06
bread crumb,3/4,cup,,319.95,58.3038,10.8135,4.293
parmesan cheese,1/2,cup,grated,148.0,16.0,16.0,2.0
cheddar cheese,1 1/2,cups,shredded,-,-,-,-
parsley,1/4,teaspoon,,0.1125,0.0198,0.0093,0.0025
oregano,1/4,teaspoon,,0.6625,0.1723,0.0225,0.0107
black pepper,1/4,teaspoon,ground,1.4432,0.3677,0.0597,0.0187
salt,1/8,teaspoon,,-,-,-,-
chicken breast half,8,,skinless boneless,-,-,-,-
