Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
purpose flour,3,cups,divided,-,-,-,-
yeast,1,tablespoon,,33.3,3.6756,4.2984,0.162
white sugar,1,teaspoon,,16.254,4.1992,0.0,0.0
butter,2,tablespoons,softened,171.0,7.857,5.343,14.4
water,1 1/3,cups,,0.0,0.0,0.0,0.0
salt,1/4,teaspoon,,-,-,-,-
baking soda,3,tablespoons,,0.0,0.0,0.0,0.0
water,3,cups,,0.0,0.0,0.0,0.0
butter,2,tablespoons,melted,171.0,7.857,5.343,14.4
sea salt,1,tablespoon,coarse,-,-,-,-
