Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
cornstarch,2,tablespoons,,60.96,14.6032,0.0416,0.008
water,1/2,cup,,0.0,0.0,0.0,0.0
soy sauce,1/4,cup,low sodium,33.7875,3.1429,5.1892,0.3634
peanut butter,1/2,cup,,759.81,27.8253,31.0374,64.4226
brown sugar,1/4,cup,,209.0,53.9495,0.066,0.0
white vinegar,1,tablespoon,,2.682,0.006,0.0,0.0
sesame oil,2,teaspoons,,79.56,0.0,0.0,9.0
water,1,cup,,0.0,0.0,0.0,0.0
peanut,1/4,cup,chopped,206.955,5.8874,9.417,17.9726
mint leaf,1,tablespoon,chopped,-,-,-,-
