Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
white sugar,1,cup,,774.0,199.96,0.0,0.0
cocoa powder,1/2,cup,,98.04,24.897,8.427999999999999,5.891
water,3/4,cup,,0.0,0.0,0.0,0.0
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
pie crust,2,,unbaked,-,-,-,-
purpose flour,2,cups,,-,-,-,-
baking powder,2,teaspoons,,4.876,2.5484,0.0,0.0
white sugar,1,cup,,774.0,199.96,0.0,0.0
butter,1/2,cup,,684.0,31.428,21.372,57.6
vanilla extract,3/4,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
egg,2,,,143.0,0.72,12.56,9.51
milk,1,cup,,148.84,11.6632,7.686,7.9788
