Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
grain white rice,1,cup,uncooked,-,-,-,-
butter,2,tablespoons,unsalted,171.0,7.857,5.343,14.4
water,2,cups,,0.0,0.0,0.0,0.0
milk,2,cups,,297.68,23.3264,15.372,15.9576
purpose flour,1,tablespoon,,-,-,-,-
white sugar,1/3,cup,,258.0,66.6533,0.0,0.0
egg,1,,,71.5,0.36,6.28,4.755
vanilla extract,1 1/2,teaspoons,,18.144000000000002,0.797,0.0038,0.0038
milk,1,cup,,297.68,23.3264,15.372,15.9576
heavy cream,2/3,cup,,272.0,2.1919999999999997,2.272,28.864
raisin,1/2,cup,,249.15,65.604,2.7968,0.3795
cinnamon,1/2,teaspoon,ground,-,-,-,-
