Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
butter,1/2,cup,,684.0,31.428,21.372,57.6
brown sugar,1/2,cup,,418.0,107.899,0.132,0.0
purpose flour,1 1/2,cups,,-,-,-,-
egg,3,,beaten,214.5,1.08,18.84,14.265
brown sugar,1 1/2,cups,,418.0,107.899,0.132,0.0
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
purpose flour,1/4,cup,,-,-,-,-
cocoa powder,1/4,cup,unsweetened,49.02,12.4485,4.2139999999999995,2.9455
baking powder,1,teaspoon,,2.438,1.2742,0.0,0.0
salt,1/4,teaspoon,,-,-,-,-
coconut,1 1/2,cups,flaked,424.8,18.276,3.9960000000000004,40.188
walnut,1,cup,chopped,1927.12,0.0,0.0,218.0
