Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
egg,1,,,71.5,0.36,6.28,4.755
water,1/4,cup,,0.0,0.0,0.0,0.0
beef,1,pound,ground,898.1139999999999,0.0,88.0877,57.7424
bread,2,slices,crumbled,-,-,-,-
salt black pepper,1 to taste,pinch,ground,-,-,-,-
ketchup,1,cup,,-,-,-,-
beef bouillon,1,cup,,16.8,0.096,2.736,0.528
vinegar,1/2,cup,,25.095,1.1114,0.0,0.0
brown sugar,1/2,cup,,418.0,107.899,0.132,0.0
cornstarch,2,tablespoons,,60.96,14.6032,0.0416,0.008
