Ingredient,Quantity,Unit
Part A,"For the Dough"
Warm milk,1,cup,(110°F)
Active dry yeast,2.5,teaspoons
Granulated sugar,2,tablespoons
All-purpose flour,3.5,cups
Salt,1,teaspoon
Unsalted butter,0.33,cup,softened
Egg - large,1
Part B,"For the Filling"
Brown sugar,0.5,cup,(packed)
Ground cinnamon,2,tablespoons
Unsalted butter,2,tablespoons,(softened)
Part C,"For the Icing"
Powdered sugar,2,cups
Milk,3,tablespoons
Vanilla extract,1,teaspoon
