Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
vegetable oil,1,tablespoon,,117.23200000000001,0.0,0.0,13.6
chicken,1,,cut,-,-,-,-
salt,1,teaspoon,,-,-,-,-
black pepper,1/4,teaspoon,ground,1.4432,0.3677,0.0597,0.0187
garlic powder,1/4,teaspoon,,2.5653,0.5637,0.1283,0.0057
red wine,1 1/2,cups,,-,-,-,-
chicken stock,1 1/2,cups,,129.6,12.708,9.072000000000001,4.32
onion,1,,,64.0,14.944,1.76,0.16
cornstarch,1,tablespoon,,30.48,7.3016,0.0208,0.004
water,1/3,cup,,0.0,0.0,0.0,0.0
