Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
purpose flour,3,cups,unbleached,-,-,-,-
white sugar,2,cups,,1548.0,399.92,0.0,0.0
salt,1,teaspoon,,-,-,-,-
baking powder,1,teaspoon,,2.438,1.2742,0.0,0.0
baking soda,1/2,teaspoon,,0.0,0.0,0.0,0.0
buttermilk,1,cup,,-,-,-,-
butter,1,cup,,1368.0,62.856,42.744,115.2
vanilla extract,2,teaspoons,,24.191999999999997,1.0626,0.005,0.005
egg,4,,,286.0,1.44,25.12,19.02
white sugar,3/4,cup,,1548.0,399.92,0.0,0.0
butter,1/3,cup,,1368.0,62.856,42.744,115.2
water,3,tablespoons,,0.0,0.0,0.0,0.0
vanilla extract,2,teaspoons,,24.191999999999997,1.0626,0.005,0.005
