Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
purpose flour,1,cup,,-,-,-,-
butter,1/2,cup,,85.5,3.9285,2.6715,7.2
water,1,tablespoon,,0.0,0.0,0.0,0.0
water,1,cup,,0.0,0.0,0.0,0.0
butter,1/2,cup,,85.5,3.9285,2.6715,7.2
purpose flour,1,cup,,-,-,-,-
egg,3,,,214.5,1.08,18.84,14.265
almond extract,1,teaspoon,,-,-,-,-
confectioner sugar,1,cup,,-,-,-,-
heavy cream,1,tablespoon,,51.0,0.41100000000000003,0.426,5.412000000000001
butter,1,tablespoon,softened,85.5,3.9285,2.6715,7.2
almond extract,1,teaspoon,,-,-,-,-
