Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
garlic,4,cloves,chopped,17.88,3.9672,0.7632,0.06
tomato sauce,3,cans,,-,-,-,-
tomato paste,4,cans,,557.6,128.588,29.375999999999998,3.196
parsley,1,tablespoon,chopped,1.368,0.2405,0.1129,0.03
basil,1,tablespoon,chopped,0.6095,0.0702,0.0835,0.017
beef,2,pounds,ground,1796.2279,0.0,176.1755,115.4848
pork,1,pound,ground,1705.536,0.0,63.0958,159.0775
bread crumb,1,cup,,426.6,77.7384,14.418,5.724
parmesan cheese,1,cup,grated,296.0,32.0,32.0,4.0
garlic powder,1,teaspoon,,10.261,2.2546,0.5131,0.0226
parsley,1,tablespoon,chopped,1.368,0.2405,0.1129,0.03
