Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
butter,1/2,cup,softened,85.5,3.9285,2.6715,7.2
white sugar,1,cup,,774.0,199.96,0.0,0.0
egg,1,,,71.5,0.36,6.28,4.755
purpose flour,2,cups,,-,-,-,-
baking powder,2,teaspoons,,4.876,2.5484,0.0,0.0
salt,1,pinch,,-,-,-,-
milk,4,cups,,595.36,46.6528,30.744,31.9152
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
butter,1,tablespoon,,85.5,3.9285,2.6715,7.2
purpose flour,2 1/2,tablespoons,,-,-,-,-
cornstarch,2 1/2,tablespoons,,76.2,18.254,0.052000000000000005,0.01
white sugar,1/2,cup,,774.0,199.96,0.0,0.0
egg,2,,beaten,71.5,0.36,6.28,4.755
cinnamon,1/2,teaspoon,ground,-,-,-,-
