Ingredient,Quantity,Unit
Part A,"For the Biscuits"
All-purpose flour,2,cups
Baking powder,4,teaspoons
Granulated sugar,2,tablespoons
Salt,0.5,teaspoon
unsalted butter,0.5,cup,(cold and cut into pieces)
Buttermilk,0.75,cup
Part B,"For the Strawberries"
Strawberries,2,quarts,(fresh - hulled and sliced)
Granulated sugar,0.5,cup
Lemon juice,2,tablespoons
Part C,"For the Whipped Cream"
Heavy whipping cream,1,pint
Powdered sugar,0.25,cup
Vanilla extract,1,teaspoon
