Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
grain white rice,2/3,cup,uncooked,-,-,-,-
water,1 1/3,cups,,0.0,0.0,0.0,0.0
vegetable oil,3,tablespoons,,351.69599999999997,0.0,0.0,40.8
onion,2,,cut,88.0,20.548000000000002,2.42,0.22
garlic,3,cloves,chopped,13.41,2.9754,0.5724,0.045
white sugar,1/2,tablespoon,,24.381,6.2987,0.0,0.0
salt,2,teaspoons,,-,-,-,-
egg,1,,beaten,71.5,0.36,6.28,4.755
crabmeat,1/4,pound,cooked,95.2002,0.0,20.7287,0.68
green onion,3,,chopped,57.51,12.2262,2.0661,1.0011
cilantro,1,tablespoon,chopped,0.23,0.0367,0.0213,0.0052
cucumber,1/2,,sliced,-,-,-,-
lime,1,,sliced,-,-,-,-
