Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
butter,1,cup,softened,1368.0,62.856,42.744,115.2
white sugar,2,cups,,1548.0,399.92,0.0,0.0
purpose flour,3,cups,,-,-,-,-
egg,6,,,429.0,2.16,37.68,28.53
baking powder,2,teaspoons,,4.876,2.5484,0.0,0.0
milk,1,cup,,148.84,11.6632,7.686,7.9788
baking soda,1/2,teaspoon,,0.0,0.0,0.0,0.0
lemon juice,3,tablespoons,,10.065,3.1568,0.1601,0.1098
almond,1/3,cup,slivered toasted,642.3733,0.0,0.0,72.6667
white sugar,1,tablespoon,,1548.0,399.92,0.0,0.0
confectioner sugar,2,tablespoons,,-,-,-,-
