Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
vegetable oil,1,teaspoon,,39.0773,0.0,0.0,4.5333
beef,3/4,pound,ground lean,397.8009,0.0,78.4382,9.146
onion,1,,chopped,64.0,14.944,1.76,0.16
garlic,1,clove,minced,4.47,0.9918,0.1908,0.015
curry powder,2,teaspoons,,13.0,2.2332,0.5716,0.5604
head cabbage,1,,shredded,-,-,-,-
ketchup,2,tablespoons,,-,-,-,-
mango chutney,2,teaspoons,,4.125,1.0299,0.0564,0.0261
salt,1,teaspoon,,-,-,-,-
water,1,tablespoon,,0.0,0.0,0.0,0.0
