Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
paprika,2,tablespoons,ground,38.352,7.3426,1.923,1.7530000000000001
cayenne pepper,1,tablespoon,ground,16.854,3.0014,0.6365,0.9153
onion powder,1,tablespoon,,23.529,5.4593,0.7183,0.0718
salt,2,teaspoons,,-,-,-,-
white pepper,1/2,teaspoon,ground,3.552,0.8233,0.1248,0.0254
black pepper,1/2,teaspoon,ground,2.8865,0.7354,0.1195,0.0375
thyme,1/4,teaspoon,,0.20199999999999999,0.0489,0.0111,0.0034
basil,1/4,teaspoon,,0.0508,0.0059,0.006999999999999999,0.0014
oregano,1/4,teaspoon,,0.6625,0.1723,0.0225,0.0107
salmon fillet,4,,,2574.9392,0.0,359.7661,114.9656
butter,1/2,cup,unsalted melted,684.0,31.428,21.372,57.6
