Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
cider vinegar,4,cups,,200.76,8.8908,0.0,0.0
brown sugar,1,cup,,836.0,215.798,0.264,0.0
ketchup,1 1/3,cups,,-,-,-,-
butter,1/4,cup,,342.0,15.714,10.686,28.8
lemon juice,2,tablespoons,,6.71,2.1045,0.1067,0.0732
worcestershire sauce,2,tablespoons,,26.52,6.6164,0.0,0.0
red pepper flake,2,teaspoons,crushed,-,-,-,-
mustard powder,2,teaspoons,,-,-,-,-
salt,1,teaspoon,,-,-,-,-
black pepper,1,teaspoon,ground,5.773,1.4708,0.239,0.075
