Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
margarine,3,tablespoons,,304.137,0.3807,0.3807,34.0515
white sugar,2,cups,,1548.0,399.92,0.0,0.0
egg yolk,3,,,164.22,1.8309,8.0886,13.5354
purpose flour,3,cups,,-,-,-,-
baking powder,1,tablespoon,,7.314,3.8226,0.0,0.0
milk,1,cup,,148.84,11.6632,7.686,7.9788
egg white,3,,,51.48,0.7227,10.790999999999999,0.1683
banana,6,,,1201.5,308.34,14.715,4.455
white sugar,2,tablespoons,,1548.0,399.92,0.0,0.0
cinnamon,1,teaspoon,ground,-,-,-,-
