Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
butter,1/2,cup,softened,171.0,7.857,5.343,14.4
white sugar,1,cup,,774.0,199.96,0.0,0.0
egg,2,,,143.0,0.72,12.56,9.51
vanilla extract,1,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
ricotta cheese,8,ounces,,394.6249,6.8946,25.5372,29.4381
purpose flour,2,cups,,-,-,-,-
baking soda,1/2,teaspoon,,0.0,0.0,0.0,0.0
salt,1/4,teaspoon,,-,-,-,-
butter,2,tablespoons,softened,171.0,7.857,5.343,14.4
confectioner sugar,2,cups,,-,-,-,-
vanilla extract,1/4,teaspoon,,12.095999999999998,0.5313,0.0025,0.0025
milk,1 1/2,tablespoons,,13.725,1.0755,0.7088,0.7358
