Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
water,1 1/2,cups,,0.0,0.0,0.0,0.0
white sugar,1/2,cup,,387.0,99.98,0.0,0.0
cocoa powder,1/4,cup,unsweetened,49.02,12.4485,4.2139999999999995,2.9455
purpose flour,2,tablespoons,,-,-,-,-
cinnamon,1,teaspoon,ground,-,-,-,-
clove,1/4,teaspoon,ground,1.4385,0.344,0.0313,0.0682
salt,1/4,teaspoon,,-,-,-,-
milk,6,cups,,893.04,69.9792,46.11600000000001,47.8728
vanilla extract,1,tablespoon,,37.44,1.6445,0.0078,0.0078
