Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
vegetable oil,1,tablespoon,,117.23200000000001,0.0,0.0,13.6
onion,1,,chopped,64.0,14.944,1.76,0.16
jalapeno pepper,2,,chopped,3.2625,0.7312,0.1024,0.0416
garlic,2,cloves,chopped,8.94,1.9836,0.3816,0.03
cumin,1,teaspoon,ground,7.875,0.929,0.374,0.4677
cayenne pepper,1,pinch,,0.3578,0.0637,0.0135,0.0194
kernel corn,3,cans,drained,830.7796,164.0631,22.9574,9.0054
chicken broth,2,cups,,156.24,3.78,22.2768,5.2416
chicken breast,1,,skinless boneless cut,780.1798,0.0,94.5741,41.9573
lime,1,,cut,-,-,-,-
cilantro,1/4,cup,chopped,0.92,0.1468,0.0852,0.0208
cream,1/4,cup,sour,113.85,2.6622,1.403,11.1262
