Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
Eggs,2,quantity,,,,,
Cheese,3,oz (weight),,,,,
Salt,2,pinch,,,,,
