Ingredient Name,Quantity,Unit,Additional Info,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
Corn Tortilla,1,quantity,,,,,
Chicken - Cooked,1,cup,,452.525,0,69.768,0
Tomato - Medium,1,quantity,sliced,22.14,4.785,1.082,0.246
