Ingredient Name,Quantity,Unit,Additional Info,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g)
Eggplant - Medium,1,quantity,,48.25,11.348,1.891,0.347
Parmesan Cheese,1,cup,,633.024,18.689,44.613,42.202
Marinara Sauce,1,cup,,126.317,19.938,3.492,3.666
