Step,Instruction
1,"Bring a pot of lightly salted water to a boil; add the jalape�o peppers. Lower the heat to medium and boil the peppers for 15 minutes, then drain. Once they're cool enough to touch, remove the stems from the peppers."
2,"In a bowl, combine diced tomatoes, onion, jalapenos, and cilantro. Season with lime juice and salt to taste; mix well."
