nutrient,recommendation
energy,top quarter of USDA range
protein,1.6-2.2 g/kg of body weight
fat,20-35% of total daily calories
fiber,25-38g
iron,upper half of USDA range
vitamin D,top quarter of USDA range
caffeine,3-6g/kg of bodyweight
