ingredient,density
ground coriander,0.404
ground ginger,0.352
ground paprika,0.46
ground turmeric,0.636
gruyã¨re cheese,0.916
gruyã¨re cheese - shredded,0.472
gruyere cheese,0.916
gruyere cheese - shredded,0.472
guacamole,1.692
half-and-half,1.024
heavy cream,1.008
heavy whipping cream,1.008
herbes de provence,0.068
hoisin sauce,1.084
hollandaise sauce,1.088
hominy,0.696
honey,1.4
honey nut cheerios,0.125
hummus,1.04
ice cubes,1
ikura (salmon roe),0.948
italian dressing,0.992
italian sausage,0.584
italian seasoned breadcrumbs,0.38
italian seasoning,0.164
kahlua (or other coffee liqueur),1.15
kalamata olives,0.508
kasuri methi (dried fenugreek leaves),0.733333333
ketchup,1.133333333
kewpie mayonnaise,0.948
kimchi,0.6
korean broth,1
korean radish,0.492
korean red pepper flakes (gochugaru),0.488
korean anchovy broth,1
korean fish cake broth (dashi),1
kosher salt,1.2
lemon juice,1.032
lemon zest,0.404
lentils,0.812
lentils (any variety),0.812
lettuce,0.2
light mayonnaise,0.948
light brown sugar,0.928
lime juice,1.024
lime zest,0.404
long-grain white rice,0.804
low-sodium chicken broth,1
maple syrup,1.332
marinara sauce,1.032
marsala wine (dry),0.996
masa harina,0.54
mashed potatoes,0.968
mayonnaise,0.948
melted butter,0.911
milk,1.03
minced ginger,0.912
mint leaves,0.031
mirin,1.49
miso paste,1.016
mixed greens,0.148
mixed salad greens,0.148
molasses,1.4
monterey jack cheese - shredded,0.472
monterey jack cheese,0.472
mozzarella cheese,1.11
mozzarella cheese - shredded,0.472
mung bean sprouts,0.44
mushrooms,0.383445946
mustard,1.052
napa cabbage,1.016
neutral oil,0.948
nicoise olives or large green olives,1.06
nicoise olives - pitted,1.06
"niã§oise olives,pitted",1.06
nuka (rice bran),0.5
nutmeg,0.472
nutritional yeast,0.184
nuts,0.481
oatmeal,0.692
oaxaca cheese,0.472
oil,0.92
old bay seasoning,0.488
olive oil,0.917
olives,1.06
olives (black or green),1.06
onion,0.512
onion - medium,0.512
onion powder,0.468
orange juice,1.05
orange zest,0.404
oregano,0.204
oyster sauce,1.084
oyster sauce - vegetarian,1.084
packed light brown sugar,0.928
panko breadcrumbs,0.252
paprika,0.46
parboiled rice,0.78
parmesan cheese,0.628
parmesan cheese - shredded,0.452
parmigiano-reggiano cheese,0.628
parsley,0.256
peanut butter,1.084
peanut oil,0.916
peanuts,0.481
peas,0.612
pecans,0.481
pecorino romano cheese,0.628
pepitas (pumpkin seeds),0.424
pepper,0.568
peppercorns,0.568
pepperoni,0.584
perilla leaves (kkaennip),0.08
pickle relish,1.036
pimentã³n (spanish paprika),0.46
pine nuts,0.572
pineapple,0.696
pineapple chunks,0.696
pinto beans (dry),0.592
pizza sauce,1.016
plain greek yogurt,0.96
plain yogurt,1.03
plant-based milk,1.032
polenta,0.704
potato starch,0.812
powdered sugar,0.809
pumpkin seeds,0.424
queso fresco cheese,1.076
queso fresco cheese - shredded,0.472
queso fresco,1.076
quinoa,0.64
radishes,0.492
raisins,0.778
ranch dressing,1.016
